dataset,horizon,outer_fold,model_seed,target_units,physical_minutes,source_run,source_hash,protocol_hash,new_batch_unit,model,group_id,nominal_level,aggregation,n,mae,rmse,coverage,mpiw,winkler,negative_points,negative_lower_bounds,phase,historical_training_use
rico,30,2,42,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,True,persistence,P1S101,0.9,"within original group, sample weighted",187,0.279144385026738,0.30257363093805356,1.0,2.0,2.0,0,0,1.0,True
rico,30,2,42,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,True,persistence,P3S0,0.9,"within original group, sample weighted",187,1.0903743315508023,1.3271133887215756,0.5882352941176471,2.0,9.037433155080215,0,0,3.0,True
rico,30,2,42,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,True,persistence,P3S1,0.9,"within original group, sample weighted",187,0.20909090909090922,0.21828206253269974,1.0,2.0,2.0,0,0,3.0,True
rico,30,2,42,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,True,persistence,P3S2,0.9,"within original group, sample weighted",187,0.36737967914438496,0.4694404451587039,0.9572192513368984,2.0,2.2032085561497317,0,0,3.0,True
rico,30,2,42,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,True,persistence,P3S3,0.9,"within original group, sample weighted",187,0.23422459893048114,0.40066789159887606,0.9572192513368984,2.0,2.149732620320855,0,0,3.0,True
rico,30,2,42,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,True,persistence,P3S4,0.9,"within original group, sample weighted",187,0.3855614973262033,0.4950557684784042,0.9518716577540107,2.0,2.1069518716577544,0,0,3.0,True
rico,30,2,42,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,True,persistence,P3S5,0.9,"within original group, sample weighted",187,0.20481283422459884,0.2949666889558597,1.0,2.0,2.0,0,0,3.0,True
rico,30,2,42,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,True,persistence,P4S0,0.9,"within original group, sample weighted",187,0.5010695187165775,0.6285966034266907,0.8716577540106952,2.0,2.7807486631016043,0,0,4.0,True
rico,30,2,42,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,True,persistence,P4S1,0.9,"within original group, sample weighted",187,0.5930481283422461,0.6488574903480337,0.9358288770053476,2.0,2.1390374331550803,0,0,4.0,True
rico,30,2,42,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,True,persistence,P4S2,0.9,"within original group, sample weighted",187,0.33636363636363653,0.388951696820946,1.0,2.0,2.0,0,0,4.0,True
rico,30,2,42,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,True,persistence,P4S3,0.9,"within original group, sample weighted",187,0.06631016042780764,0.11281521496355355,1.0,2.0,2.0,0,0,4.0,True
