dataset,outer_fold,model_seed,horizon,level,method,support,n,coverage,signed_coverage_deviation,absolute_coverage_deviation,mpiw,winkler,mae,rmse,sum_absolute_error,sum_squared_error,sum_width,sum_winkler,covered_count,available_count,unavailable_count,raw_crossed,status
bdg2,2,42,1,0.9,quantile_uncalibrated,native,34640,0.8303983833718245,-0.06960161662817554,0.06960161662817554,68.40780649762743,118.77035950684112,17.236070101515587,35.65807404737909,597057.4683165,44044699.198776335,2369646.417077814,4114205.253316976,28765,34640,0,0,complete
bdg2,2,42,1,0.9,cqr,native,34640,0.8800519630484989,-0.019948036951501158,0.019948036951501158,72.92709919918369,117.57308525862541,17.236070101515587,35.65807404737909,597057.4683165,44044699.198776335,2526194.716259723,4072731.673358784,30485,34640,0,0,complete
bdg2,2,42,1,0.9,recentred_enbpi_static,native,34640,0.8993937644341802,-0.0006062355658198459,0.0006062355658198459,100.45161294555695,183.8271766662668,23.02073854486143,38.36174965067229,797438.383194,50977049.68807602,3479643.8724340927,6367773.399719482,31155,34640,0,0,complete
bdg2,2,42,1,0.9,recentred_enbpi_updated,native,34640,0.9018764434180139,0.0018764434180138512,0.0018764434180138512,85.19773082575058,133.69196856709007,23.02073854486143,38.36174965067229,797438.383194,50977049.68807602,2951249.395804,4631089.7911640005,31241,34640,0,0,complete
bdg2,2,42,1,0.9,dscp,native,34590,0.8995952587453021,-0.00040474125469791566,0.00040474125469791566,82.46142362635659,151.65588317403416,17.76137686400313,34.975072596378595,614366.0257258682,42312414.77098835,2852340.6432356746,5245776.998989842,31117,34590,0,0,complete
bdg2,2,42,1,0.95,quantile_uncalibrated,native,34640,0.8859122401847576,-0.0640877598152424,0.0640877598152424,89.43211765678386,154.49298918572387,17.236070101515587,35.65807404737909,597057.4683165,44044699.198776335,3097928.555630993,5351637.145393475,30688,34640,0,0,complete
bdg2,2,42,1,0.95,cqr,native,34640,0.9499711316397229,-2.8868360277045646e-05,2.8868360277045646e-05,97.79585723633737,152.40461679698993,17.236070101515587,35.65807404737909,597057.4683165,44044699.198776335,3387648.4946667263,5279295.925847731,32907,34640,0,0,complete
bdg2,2,42,1,0.95,recentred_enbpi_static,native,34640,0.9461027713625866,-0.0038972286374133747,0.0038972286374133747,143.6022724609375,246.7841961625871,23.02073854486143,38.36174965067229,797438.383194,50977049.68807602,4974382.718046876,8548604.555072017,32773,34640,0,0,complete
bdg2,2,42,1,0.95,recentred_enbpi_updated,native,34640,0.9506928406466513,0.000692840646651316,0.000692840646651316,117.02085150929561,168.7970443730369,23.02073854486143,38.36174965067229,797438.383194,50977049.68807602,4053602.296282,5847129.617081998,32932,34640,0,0,complete
bdg2,2,42,1,0.95,dscp,native,34590,0.9462850534836658,-0.0037149465163341944,0.0037149465163341944,116.16013309522437,202.51988422976092,17.76137686400313,34.975072596378595,614366.0257258682,42312414.77098835,4017979.0037638107,7005162.79550743,32732,34590,0,0,complete
