dataset,horizon,outer_fold,model_seed,run_path,source_hash,protocol_hash,run_file_tree_hash,evaluated_commit,historical_refits
rico,5,2,42,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,edf608c9dbb83e325c103f53c49f1650dc78e07ce7ac2dc3819dcf310f5be6ff,350ef4fd1c92c12a982df2b8366023937515b65b,0
bdg2,1,2,42,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,dddadb59c5972ba0474291c8081e54c3173f4957c52de269cdc336d78fbf546e,db8345c69825c62c3cedaa113855653994aec04bc7686c543b1e1bfa387bdad4,350ef4fd1c92c12a982df2b8366023937515b65b,0
pleia,1,0,42,smart_building_conformal/outputs/model_comparison_pilot_v1/runs/pilot_v1_20260913,965ff02d8cb67183210632bfbc3a2251c430a2b027b8b44d87df356fd19e3d71,af29d2340427f043c605f777e54389bc86ccbb44c9630aba57964536d0845ce3,228416a191746405ff83730d8444a715cc88b06694297c2184802d8c107b55b1,d4bc1bc4af7b20d990618df09064ac310809a8ab,0
pleia,3,0,42,smart_building_conformal/outputs/model_comparison_pilot_v1/runs/pilot_v1_20260913,965ff02d8cb67183210632bfbc3a2251c430a2b027b8b44d87df356fd19e3d71,af29d2340427f043c605f777e54389bc86ccbb44c9630aba57964536d0845ce3,228416a191746405ff83730d8444a715cc88b06694297c2184802d8c107b55b1,d4bc1bc4af7b20d990618df09064ac310809a8ab,0
pleia,6,0,42,smart_building_conformal/outputs/model_comparison_pilot_v1/runs/pilot_v1_20260913,965ff02d8cb67183210632bfbc3a2251c430a2b027b8b44d87df356fd19e3d71,af29d2340427f043c605f777e54389bc86ccbb44c9630aba57964536d0845ce3,228416a191746405ff83730d8444a715cc88b06694297c2184802d8c107b55b1,d4bc1bc4af7b20d990618df09064ac310809a8ab,0
pleia_energy,1,0,42,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f0_s42_v1,7335d436f6e4f8c2144de372e8817d036bae216426c157f5bbdc1eb921927955,4e6c91f9f835e0f37ebf21e4de23c4f65c9911d42d933912d0ce4fbf7500a4c3,9c45ac0259139ad0c1021b93429c7bae89e41f6671266fe8473e83aa7f727b07,697d0e6e8a7de0a2fc55c98b8341117d789390ce,0
pleia_energy,1,2,42,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,7c23adb6f9815cd9e08f59c1ae4d7cf37f0cc5eb3a25efede0b901b902eb75bd,1a88878953ddc46505f18152be4abdb3fb21ca20a05614ec6fe9b4fa3aac85e2,7b4e76ee1e0f6329a91f309fcf78e89fed95c2ab,0
pleia_energy,3,2,42,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,45c20ac2ea3ebec21844295e8ee7adc51484f1134040e1864ee0068833924297,66e7fea9f2ae5234260c67520d6c9c100518408e74fe84b0d50e28f4c6bdf9f6,7b4e76ee1e0f6329a91f309fcf78e89fed95c2ab,0
pleia_energy,6,2,42,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,2209e00bc338132a6a2a2933be0893ff9f893cbddb45082541941604ab05632b,0b54cdff31bc567f83460d2c9de8c95e3fdb883e3fa0555149b0782d9e68d496,7b4e76ee1e0f6329a91f309fcf78e89fed95c2ab,0
rico,15,2,42,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,b8e86c7dda4daa2e847978dfa4fb18549eeeaa7711e0351ab9ad81b8cc39b75b,1dc6facbbfb9758b0f8388bb775976757038b766,0
rico,30,2,42,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,7357594b5d7a05d00e0f749710a792dcc996f3beeb2b473e38d7eb8d5966b8fc,1dc6facbbfb9758b0f8388bb775976757038b766,0
rico,60,2,42,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1313d1f837d1a817bae522e566b1ae780eac3779acb6c6ce8a1d3c571d0498f2,37476ee7437235afb16bad3fff92ab8bef2ec14628229ecde7ece589ed16b65d,1dc6facbbfb9758b0f8388bb775976757038b766,0
bdg2,3,2,42,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,9f6ebede3e1cdfa1160ebb06d88768caf7c37e45b8bec777807b19531e87a260,f54a750d0220ef57a7fe850bd9a224d1caa7cc0db8a4faabad68f0f6c1c62fea,278a89377c932a4360311e7cec4b0c01ade27659,0
bdg2,6,2,42,smart_building_conformal/outputs/matched_forecasting005/bdg2_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,dcffb11d9ae7c3210ce7211cd66ccbe05e3e96c486c605648bf7838a00e07f2c,002ccb52788761b509ed8c907437ad875c44a5beecc883ba3d4c1d0d48717aa1,278a89377c932a4360311e7cec4b0c01ade27659,0
bdg2,1,1,42,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f1_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,3a12b8bb0420a6d8259bdf93ab6cb7ae75b0cf7fa3bea5f7cdbd7e0113915139,e45a41cacce8ae4033f19daae64ee4fb950998719705e4e6d52f0761ad882015,278a89377c932a4360311e7cec4b0c01ade27659,0
