dataset,horizon,outer_fold,model_seed,target_units,physical_minutes,source_run,source_hash,protocol_hash,new_batch_unit,model,group_id,nominal_level,aggregation,n,mae,rmse,coverage,mpiw,winkler,negative_points,negative_lower_bounds
bdg2,1,2,46,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s46_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,b6643b6b0997a0780ea6392f425b4a0cb5398cc5509f4332b3c8d5941770a46d,True,persistence,Eagle_assembly_Benny,0.9,"within original group, sample weighted",3475,5.767777870503597,10.46082845023803,0.997410071942446,115.80600000000074,116.25868661870574,0,2315
bdg2,1,2,46,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s46_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,b6643b6b0997a0780ea6392f425b4a0cb5398cc5509f4332b3c8d5941770a46d,True,persistence,Eagle_assembly_Ian,0.9,"within original group, sample weighted",3475,45.30273381294964,79.2608606361108,0.7720863309352518,115.80600000000074,482.1301669064739,0,10
bdg2,1,2,46,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s46_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,b6643b6b0997a0780ea6392f425b4a0cb5398cc5509f4332b3c8d5941770a46d,True,persistence,Fox_education_Henrietta,0.9,"within original group, sample weighted",3475,0.8764057553956836,1.631252676615131,1.0,115.80600000000074,115.80600000000074,0,3475
bdg2,1,2,46,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s46_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,b6643b6b0997a0780ea6392f425b4a0cb5398cc5509f4332b3c8d5941770a46d,True,persistence,Hog_assembly_Colette,0.9,"within original group, sample weighted",3475,48.24604402877698,65.44972039019586,0.6541007194244605,115.80600000000074,367.5649467625882,0,0
bdg2,1,2,46,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s46_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,b6643b6b0997a0780ea6392f425b4a0cb5398cc5509f4332b3c8d5941770a46d,True,persistence,Hog_assembly_Dona,0.9,"within original group, sample weighted",3475,39.95826388489209,51.46466906783316,0.7945323741007194,115.80600000000074,244.18534964028703,0,0
bdg2,1,2,46,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s46_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,b6643b6b0997a0780ea6392f425b4a0cb5398cc5509f4332b3c8d5941770a46d,True,persistence,Lamb_assembly_Bertie,0.9,"within original group, sample weighted",3475,11.851865438848922,23.29325724977426,0.962589928057554,115.80600000000074,139.29378014388536,0,1770
bdg2,1,2,46,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s46_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,b6643b6b0997a0780ea6392f425b4a0cb5398cc5509f4332b3c8d5941770a46d,True,persistence,Lamb_assembly_Cesar,0.9,"within original group, sample weighted",3475,1.614842330935252,3.4722593794417005,1.0,115.80600000000074,115.80600000000074,0,3475
bdg2,1,2,46,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s46_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,b6643b6b0997a0780ea6392f425b4a0cb5398cc5509f4332b3c8d5941770a46d,True,persistence,Moose_education_Ricardo,0.9,"within original group, sample weighted",3365,8.159874175334325,13.595901816742073,0.9979197622585438,115.80600000000075,116.17566359584025,0,0
bdg2,1,2,46,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s46_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,b6643b6b0997a0780ea6392f425b4a0cb5398cc5509f4332b3c8d5941770a46d,True,persistence,Mouse_health_Estela,0.9,"within original group, sample weighted",3475,18.145159194244602,31.668629375072342,0.9289208633093525,115.80600000000074,158.85036834532394,0,3
bdg2,1,2,46,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s46_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,b6643b6b0997a0780ea6392f425b4a0cb5398cc5509f4332b3c8d5941770a46d,True,persistence,Mouse_health_Justin,0.9,"within original group, sample weighted",3475,29.5506551942446,47.40158139830789,0.8448920863309353,115.80600000000074,215.17956661870463,0,16
bdg2,1,2,46,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s46_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,b6643b6b0997a0780ea6392f425b4a0cb5398cc5509f4332b3c8d5941770a46d,True,persistence,Eagle_assembly_Benny,0.95,"within original group, sample weighted",3475,5.767777870503597,10.46082845023803,1.0,165.40000000000006,165.40000000000006,0,3221
bdg2,1,2,46,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s46_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,b6643b6b0997a0780ea6392f425b4a0cb5398cc5509f4332b3c8d5941770a46d,True,persistence,Eagle_assembly_Ian,0.95,"within original group, sample weighted",3475,45.30273381294964,79.2608606361108,0.8402877697841726,165.40000000000006,707.0230215827332,0,10
bdg2,1,2,46,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s46_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,b6643b6b0997a0780ea6392f425b4a0cb5398cc5509f4332b3c8d5941770a46d,True,persistence,Fox_education_Henrietta,0.95,"within original group, sample weighted",3475,0.8764057553956836,1.631252676615131,1.0,165.40000000000006,165.40000000000006,0,3475
bdg2,1,2,46,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s46_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,b6643b6b0997a0780ea6392f425b4a0cb5398cc5509f4332b3c8d5941770a46d,True,persistence,Hog_assembly_Colette,0.95,"within original group, sample weighted",3475,48.24604402877698,65.44972039019586,0.8351079136690648,165.4,423.05492949640274,0,2
bdg2,1,2,46,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s46_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,b6643b6b0997a0780ea6392f425b4a0cb5398cc5509f4332b3c8d5941770a46d,True,persistence,Hog_assembly_Dona,0.95,"within original group, sample weighted",3475,39.95826388489209,51.46466906783316,0.9082014388489209,165.4,286.71645467625893,0,0
bdg2,1,2,46,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s46_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,b6643b6b0997a0780ea6392f425b4a0cb5398cc5509f4332b3c8d5941770a46d,True,persistence,Lamb_assembly_Bertie,0.95,"within original group, sample weighted",3475,11.851865438848922,23.29325724977426,0.9801438848920864,165.4,184.56882647482016,0,2039
