dataset,horizon,outer_fold,model_seed,target_units,physical_minutes,source_run,source_hash,protocol_hash,new_batch_unit,model,group_id,nominal_level,aggregation,n,mae,rmse,coverage,mpiw,winkler,negative_points,negative_lower_bounds
bdg2,3,2,45,kWh per hour,180,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s45_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,b09d5d8c367121e6d22677abdb3f3bdb6a98e8404434e14ad1bfa57c42d265dd,True,persistence,Eagle_assembly_Benny,0.9,"within original group, sample weighted",3475,10.783552115107911,17.294457878894043,1.0,250.0,250.0,0,3475
bdg2,3,2,45,kWh per hour,180,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s45_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,b09d5d8c367121e6d22677abdb3f3bdb6a98e8404434e14ad1bfa57c42d265dd,True,persistence,Eagle_assembly_Ian,0.9,"within original group, sample weighted",3475,100.51510791366907,149.36924071555845,0.697841726618705,250.0,929.5280575539568,0,10
bdg2,3,2,45,kWh per hour,180,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s45_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,b09d5d8c367121e6d22677abdb3f3bdb6a98e8404434e14ad1bfa57c42d265dd,True,persistence,Fox_education_Henrietta,0.9,"within original group, sample weighted",3475,1.750756834532374,2.8583145106385017,1.0,250.0,250.0,0,3475
bdg2,3,2,45,kWh per hour,180,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s45_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,b09d5d8c367121e6d22677abdb3f3bdb6a98e8404434e14ad1bfa57c42d265dd,True,persistence,Hog_assembly_Colette,0.9,"within original group, sample weighted",3475,72.80888719424462,104.04092064400471,0.8215827338129497,250.0,509.6168057553957,0,16
bdg2,3,2,45,kWh per hour,180,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s45_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,b09d5d8c367121e6d22677abdb3f3bdb6a98e8404434e14ad1bfa57c42d265dd,True,persistence,Hog_assembly_Dona,0.9,"within original group, sample weighted",3475,63.61992,85.4774476041269,0.8494964028776978,250.0,386.5052834532375,0,5
bdg2,3,2,45,kWh per hour,180,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s45_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,b09d5d8c367121e6d22677abdb3f3bdb6a98e8404434e14ad1bfa57c42d265dd,True,persistence,Lamb_assembly_Bertie,0.9,"within original group, sample weighted",3475,30.56562578417266,50.83449026687657,0.9562589928057554,250.0,279.68897381294965,0,2528
bdg2,3,2,45,kWh per hour,180,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s45_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,b09d5d8c367121e6d22677abdb3f3bdb6a98e8404434e14ad1bfa57c42d265dd,True,persistence,Lamb_assembly_Cesar,0.9,"within original group, sample weighted",3475,4.058973035971223,8.00030793680167,1.0,250.0,250.0,0,3475
bdg2,3,2,45,kWh per hour,180,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s45_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,b09d5d8c367121e6d22677abdb3f3bdb6a98e8404434e14ad1bfa57c42d265dd,True,persistence,Moose_education_Ricardo,0.9,"within original group, sample weighted",3365,21.118584338781577,34.57223883585331,0.999702823179792,250.0,250.04160534918276,0,0
bdg2,3,2,45,kWh per hour,180,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s45_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,b09d5d8c367121e6d22677abdb3f3bdb6a98e8404434e14ad1bfa57c42d265dd,True,persistence,Mouse_health_Estela,0.9,"within original group, sample weighted",3475,48.28118313669064,77.01942815514609,0.8658992805755396,250.0,384.894964028777,0,3
bdg2,3,2,45,kWh per hour,180,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s45_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,b09d5d8c367121e6d22677abdb3f3bdb6a98e8404434e14ad1bfa57c42d265dd,True,persistence,Mouse_health_Justin,0.9,"within original group, sample weighted",3475,73.84582589928057,106.075761451845,0.7907913669064748,250.0,525.5116034532375,0,16
